Stock,Returns1,Volatility,Cluster,Returns
ADBE,1.397293135,102.3218926,0,1.397293135
WST,2.008461782,90.33610775,0,2.008461782
INTU,1.326110447,97.95815911,0,1.326110447
KLAC,1.048476902,70.63748912,0,1.048476902
LRCX,1.088987234,144.6958765,0,1.088987234
MKTX,0.175785568,69.37996215,0,0.175785568
MPWR,2.471312635,103.6334276,0,2.471312635
MSCI,1.933147542,114.7608575,0,1.933147542
NFLX,1.47749545,87.56304358,0,1.47749545
NVDA,3.73432895,51.16577986,0,3.73432895
ORLY,0.512211289,77.39397619,0,0.512211289
ODFL,1.652088895,54.82035239,0,1.652088895
PAYC,1.654692779,82.18932079,0,1.654692779
PENN,2.528768267,31.58938714,0,2.528768267
POOL,1.499729954,95.24864834,0,1.499729954
PWR,1.926213479,26.43126873,0,1.926213479
REGN,0.890080824,89.31917677,0,0.890080824
NOW,1.906005525,117.7413282,0,1.906005525
SIVB,2.589956953,164.2437342,0,2.589956953
TMO,1.072246497,88.24612816,0,1.072246497
TDG,0.20095114,97.75882095,0,0.20095114
TYL,1.031963565,67.48594889,0,1.031963565
URI,1.767575813,85.24624396,0,1.767575813
WAT,0.708084281,68.21467692,0,0.708084281
GS,0.963610554,79.26956844,0,0.963610554
GNRC,4.230292244,122.0275111,0,4.230292244
IDXX,1.432527125,145.0527107,0,1.432527125
FTNT,3.141428018,67.66663651,0,3.141428018
AMD,2.878783302,21.9179189,0,2.878783302
ALB,2.453347981,55.01873624,0,2.453347981
ALGN,1.367358877,172.8332798,0,1.367358877
BBWI,3.991725185,19.44579583,0,3.991725185
BIO,1.249332095,129.3391085,0,1.249332095
TECH,1.532682027,103.3060503,0,1.532682027
BLK,1.045484521,157.7179398,0,1.045484521
FCX,3.098112501,11.74417471,0,3.098112501
CTLT,1.665455432,26.5640003,0,1.665455432
CDAY,1.870567539,18.47974077,0,1.870567539
AVGO,0.85590311,85.17145814,0,0.85590311
ZBRA,1.51482856,127.6457948,0,1.51482856
CHTR,0.673477842,97.92516243,0,0.673477842
ETSY,3.366926449,65.15476021,0,3.366926449
EQIX,0.46001517,86.8555758,0,0.46001517
ENPH,6.765187541,60.49652508,0,6.765187541
DE,1.048573501,88.8932698,0,1.048573501
DXCM,2.872763067,95.63480797,0,2.872763067
CRL,2.322128131,95.8956816,0,2.322128131
MRNA,19.81193405,116.639412,1,19.81193405
TSLA,15.97669182,267.7299383,1,15.97669182
GOOGL,1.184074483,522.2412225,2,1.184074483
NVR,0.299251709,704.1204196,2,0.299251709
AMZN,0.871446756,607.8948118,2,0.871446756
GOOG,1.19851075,535.8332641,2,1.19851075
MTD,1.138349319,276.6110106,3,1.138349319
BKNG,0.18280366,319.1796933,3,0.18280366
CMG,1.221340469,357.7539113,3,1.221340469
AZO,0.626808629,212.2890676,3,0.626808629
